2020-10-02 18:15:30,850 p=6521 u=student n=ansible | TASK [kubeadm1.19 : setup kubectl config] ******************************************************************************************************************************
2020-10-02 18:15:30,851 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:34,432 p=6521 u=student n=ansible | TASK [kubeadm1.19 : Starting CNI (Calico)] *****************************************************************************************************************************
2020-10-02 18:15:34,433 p=6521 u=student n=ansible | changed: [master-03]
2020-10-02 18:15:36,777 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : template] *********************************************************************************************************************************
2020-10-02 18:15:36,778 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:15:36,880 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:15:37,080 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:15:37,098 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:16:20,943 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : install k8s pre-reqs] *********************************************************************************************************************
2020-10-02 18:16:20,945 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:16:43,998 p=6521 u=student n=ansible | changed: [node-03]
2020-10-02 18:16:48,381 p=6521 u=student n=ansible | changed: [node-01]
2020-10-02 18:16:49,537 p=6521 u=student n=ansible | changed: [node-02]
2020-10-02 18:17:48,930 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : Kubeadm init] *****************************************************************************************************************************
2020-10-02 18:17:48,931 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:17:49,727 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : setup kubectl config] *********************************************************************************************************************
2020-10-02 18:17:49,731 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:17:50,398 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : setup kubectl config] *********************************************************************************************************************
2020-10-02 18:17:50,399 p=6521 u=student n=ansible | changed: [bchd]
2020-10-02 18:17:51,065 p=6521 u=student n=ansible | TASK [kubeadm1.19withNodes : setup kubectl config] *********************************************************************************************************************
